"Survey Period","Round","Value","Male_Female","Pri_Sec_Ter","PS_ALL","Rural_Urban"
"July 2011-June 2012","68","87","Female","Primary Sector","PS","Urban"
"July 2011-June 2012","68","109","Female","Primary Sector","ALL","Urban"
"July 2011-June 2012","68","324","Female","Secondary Sector","PS","Urban"
"July 2011-June 2012","68","340","Female","Secondary Sector","ALL","Urban"
"July 2011-June 2012","68","589","Female","Tertiary Sector","PS","Urban"
"July 2011-June 2012","68","551","Female","Tertiary Sector","ALL","Urban"
"July 2007-June 2008","64","816","Female","Primary Sector","PS","Rural"
"July 2007-June 2008","64","835","Female","Primary Sector","ALL","Rural"
"July 2007-June 2008","64","103","Female","Secondary Sector","PS","Rural"
"July 2007-June 2008","64","97","Female","Secondary Sector","ALL","Rural"
"July 2007-June 2008","64","82","Female","Tertiary Sector","PS","Rural"
"July 2007-June 2008","64","68","Female","Tertiary Sector","ALL","Rural"
"July 2007-June 2008","64","129","Female","Primary Sector","PS","Urban"
"July 2007-June 2008","64","153","Female","Primary Sector","ALL","Urban"
"July 2007-June 2008","64","305","Female","Secondary Sector","PS","Urban"
"July 2007-June 2008","64","323","Female","Secondary Sector","ALL","Urban"
"July 2007-June 2008","64","566","Female","Tertiary Sector","PS","Urban"
"July 2007-June 2008","64","524","Female","Tertiary Sector","ALL","Urban"
"July 1993-June 1994","50","508","Female","Tertiary Sector","PS","Urban"
"July 1994-June 1995","51","492","Female","Tertiary Sector","PS","Urban"
"July 1995 -June 1996","52","512","Female","Tertiary Sector","PS","Urban"
"January-December 1997","53","507","Female","Tertiary Sector","PS","Urban"
"January-June 1998","54","520","Female","Tertiary Sector","PS","Urban"
"July 1999-June 2000","55","561","Female","Tertiary Sector","PS","Urban"
"July 2000-June 2001","56","522","Female","Tertiary Sector","PS","Urban"
"July 2001 -June 2002","57","519","Female","Tertiary Sector","PS","Urban"
"July-December 2002","58","546","Female","Tertiary Sector","PS","Urban"
"January-D","59","556","Female","Tertiary Sector","PS","Urban"
"January-June 2004","60","584","Female","Tertiary Sector","PS","Urban"
"July 2004-June 2005","61","549","Female","Tertiary Sector","PS","Urban"
"July 2005-June 2006","62","564","Female","Tertiary Sector","PS","Urban"
"January-December 1983","38","376","Female","Tertiary Sector","ALL","Urban"
"July 1987-June 1988","43","389","Female","Tertiary Sector","ALL","Urban"
"July 1989 -June 1990","45","456","Female","Tertiary Sector","ALL","Urban"
"July 1990-June 1991","46","435","Female","Tertiary Sector","ALL","Urban"
"July-December 1991","47","481","Female","Tertiary Sector","ALL","Urban"
"January-December 19","48","468","Female","Tertiary Sector","ALL","Urban"
"January-June 1993","49","436","Female","Tertiary Sector","ALL","Urban"
"July 1993-June 1994","50","462","Female","Tertiary Sector","ALL","Urban"
"July 1994-June 1995","51","452","Female","Tertiary Sector","ALL","Urban"
"July 1995 -June 1996","52","482","Female","Tertiary Sector","ALL","Urban"
"January-December 1997","53","476","Female","Tertiary Sector","ALL","Urban"
"January-June 1998","54","499","Female","Tertiary Sector","ALL","Urban"
"July 1999-June 2000","55","529","Female","Tertiary Sector","ALL","Urban"
"July 2000-June 2001","56","475","Female","Tertiary Sector","ALL","Urban"
"July 2001 -June 2002","57","457","Female","Tertiary Sector","ALL","Urban"
"July-December 2002","58","513","Female","Tertiary Sector","ALL","Urban"
"January-D","59","497","Female","Tertiary Sector","ALL","Urban"
"January-June 2004","60","530","Female","Tertiary Sector","ALL","Urban"
"July 2004-June 2005","61","495","Female","Tertiary Sector","ALL","Urban"
"July 2005-June 2006","62","522","Female","Tertiary Sector","ALL","Urban"
"January-December 1983","38","255","Female","Primary Sector","PS","Urban"
"July 1987-June 1988","43","218","Female","Primary Sector","PS","Urban"
"July 1989 -June 1990","45","214","Female","Primary Sector","PS","Urban"
"July 1990-June 1991","46","223","Female","Primary Sector","PS","Urban"
"July-December 1991","47","217","Female","Primary Sector","PS","Urban"
"January-December 19","48","195","Female","Primary Sector","PS","Urban"
"January-June 1993","49","232","Female","Primary Sector","PS","Urban"
"July 1993-June 1994","50","193","Female","Primary Sector","PS","Urban"
"July 1994-June 1995","51","154","Female","Primary Sector","PS","Urban"
"July 1995 -June 1996","52","179","Female","Primary Sector","PS","Urban"
"January-December 1997","53","165","Female","Primary Sector","PS","Urban"
"January-June 1998","54","187","Female","Primary Sector","PS","Urban"
"July 1999-June 2000","55","146","Female","Primary Sector","PS","Urban"
"July 2000-June 2001","56","136","Female","Primary Sector","PS","Urban"
"July 2001 -June 2002","57","173","Female","Primary Sector","PS","Urban"
"July-December 2002","58","156","Female","Primary Sector","PS","Urban"
"January-D","59","145","Female","Primary Sector","PS","Urban"
"January-June 2004","60","126","Female","Primary Sector","PS","Urban"
"July 2004-June 2005","61","147","Female","Primary Sector","PS","Urban"
"July 2005-June 2006","62","123","Female","Primary Sector","PS","Urban"
"January-December 1983","38","310","Female","Primary Sector","ALL","Urban"
"July 1987-June 1988","43","294","Female","Primary Sector","ALL","Urban"
"July 1989 -June 1990","45","241","Female","Primary Sector","ALL","Urban"
"July 1990-June 1991","46","249","Female","Primary Sector","ALL","Urban"
"July-December 1991","47","237","Female","Primary Sector","ALL","Urban"
"January-December 19","48","224","Female","Primary Sector","ALL","Urban"
"January-June 1993","49","258","Female","Primary Sector","ALL","Urban"
"July 2011-June 2012","68","745","Female","Primary Sector","PS","Rural"
"July 2011-June 2012","68","749","Female","Primary Sector","ALL","Rural"
"July 2011-June 2012","68","151","Female","Secondary Sector","PS","Rural"
"July 2011-June 2012","68","167","Female","Secondary Sector","ALL","Rural"
"July 2009-June 2010","66","316","Female","Secondary Sector","PS","Urban"
"July 2009-June 2010","66","333","Female","Secondary Sector","ALL","Urban"
"July 2009-June 2010","66","566","Female","Tertiary Sector","PS","Urban"
"July 2009-June 2010","66","528","Female","Tertiary Sector","ALL","Urban"
"July 1993-June 1994","50","247","Female","Primary Sector","ALL","Urban"
"July 1994-June 1995","51","205","Female","Primary Sector","ALL","Urban"
"July 1995 -June 1996","52","209","Female","Primary Sector","ALL","Urban"
"January-December 1997","53","200","Female","Primary Sector","ALL","Urban"
"January-June 1998","54","221","Female","Primary Sector","ALL","Urban"
"July 1999-June 2000","55","177","Female","Primary Sector","ALL","Urban"
"July 2000-June 2001","56","183","Female","Primary Sector","ALL","Urban"
"July 2001 -June 2002","57","211","Female","Primary Sector","ALL","Urban"
"July-December 2002","58","171","Female","Primary Sector","ALL","Urban"
"January-D","59","190","Female","Primary Sector","ALL","Urban"
"January-June 2004","60","161","Female","Primary Sector","ALL","Urban"
"July 2004-June 2005","61","181","Female","Primary Sector","ALL","Urban"
"July 2005-June 2006","62","148","Female","Primary Sector","ALL","Urban"
"January-December 1983","38","307","Female","Secondary Sector","PS","Urban"
"July 1987-June 1988","43","324","Female","Secondary Sector","PS","Urban"
"July 1989 -June 1990","45","297","Female","Secondary Sector","PS","Urban"
"July 1990-June 1991","46","318","Female","Secondary Sector","PS","Urban"
"July-December 1991","47","278","Female","Secondary Sector","PS","Urban"
"January-December 19","48","304","Female","Secondary Sector","PS","Urban"
"January-June 1993","49","306","Female","Secondary Sector","PS","Urban"
"July 1993-June 1994","50","299","Female","Secondary Sector","PS","Urban"
"July 1994-June 1995","51","354","Female","Secondary Sector","PS","Urban"
"July 1995 -June 1996","52","310","Female","Secondary Sector","PS","Urban"
"January-December 1997","53","328","Female","Secondary Sector","PS","Urban"
"January-June 1998","54","292","Female","Secondary Sector","PS","Urban"
"July 1999-June 2000","55","293","Female","Secondary Sector","PS","Urban"
"July 2000-June 2001","56","342","Female","Secondary Sector","PS","Urban"
"July 2001 -June 2002","57","309","Female","Secondary Sector","PS","Urban"
"July-December 2002","58","298","Female","Secondary Sector","PS","Urban"
"January-D","59","299","Female","Secondary Sector","PS","Urban"
"January-June 2004","60","289","Female","Secondary Sector","PS","Urban"
"July 2004-June 2005","61","303","Female","Secondary Sector","PS","Urban"
"July 2005-June 2006","62","313","Female","Secondary Sector","PS","Urban"
"January-December 1983","38","306","Female","Secondary Sector","ALL","Urban"
"July 1987-June 1988","43","317","Female","Secondary Sector","ALL","Urban"
"July 1989 -June 1990","45","303","Female","Secondary Sector","ALL","Urban"
"July 1990-June 1991","46","316","Female","Secondary Sector","ALL","Urban"
"July-December 1991","47","282","Female","Secondary Sector","ALL","Urban"
"January-December 19","48","308","Female","Secondary Sector","ALL","Urban"
"January-June 1993","49","306","Female","Secondary Sector","ALL","Urban"
"July 1993-June 1994","50","291","Female","Secondary Sector","ALL","Urban"
"July 1994-June 1995","51","343","Female","Secondary Sector","ALL","Urban"
"July 1995 -June 1996","52","309","Female","Secondary Sector","ALL","Urban"
"January-December 1997","53","324","Female","Secondary Sector","ALL","Urban"
"January-June 1998","54","280","Female","Secondary Sector","ALL","Urban"
"July 1999-June 2000","55","293","Female","Secondary Sector","ALL","Urban"
"July 2000-June 2001","56","342","Female","Secondary Sector","ALL","Urban"
"July 2001 -June 2002","57","332","Female","Secondary Sector","ALL","Urban"
"July-December 2002","58","315","Female","Secondary Sector","ALL","Urban"
"January-D","59","312","Female","Secondary Sector","ALL","Urban"
"January-June 2004","60","309","Female","Secondary Sector","ALL","Urban"
"July 2004-June 2005","61","324","Female","Secondary Sector","ALL","Urban"
"July 2005-June 2006","62","330","Female","Secondary Sector","ALL","Urban"
"January-December 1983","38","430","Female","Tertiary Sector","PS","Urban"
"July 1987-June 1988","43","458","Female","Tertiary Sector","PS","Urban"
"July 1989 -June 1990","45","489","Female","Tertiary Sector","PS","Urban"
"July 1990-June 1991","46","459","Female","Tertiary Sector","PS","Urban"
"July-December 1991","47","505","Female","Tertiary Sector","PS","Urban"
"January-December 19","48","501","Female","Tertiary Sector","PS","Urban"
"January-June 1993","49","462","Female","Tertiary Sector","PS","Urban"
"July-December 1991","47","79","Female","Secondary Sector","ALL","Rural"
"January-December 19","48","78","Female","Secondary Sector","ALL","Rural"
"January-June 1993","49","74","Female","Secondary Sector","ALL","Rural"
"July 1993-June 1994","50","83","Female","Secondary Sector","ALL","Rural"
"July 1994-June 1995","51","83","Female","Secondary Sector","ALL","Rural"
"July 1995 -June 1996","52","80","Female","Secondary Sector","ALL","Rural"
"January-December 1997","53","72","Female","Secondary Sector","ALL","Rural"
"January-June 1998","54","66","Female","Secondary Sector","ALL","Rural"
"July 1999-June 2000","55","89","Female","Secondary Sector","ALL","Rural"
"July 2000-June 2001","56","133","Female","Secondary Sector","ALL","Rural"
"July 2001 -June 2002","57","109","Female","Secondary Sector","ALL","Rural"
"July-December 2002","58","87","Female","Secondary Sector","ALL","Rural"
"January-D","59","95","Female","Secondary Sector","ALL","Rural"
"January-June 2004","60","94","Female","Secondary Sector","ALL","Rural"
"July 2004-June 2005","61","102","Female","Secondary Sector","ALL","Rural"
"July 2005-June 2006","62","120","Female","Secondary Sector","ALL","Rural"
"January-December 1983","38","57","Female","Tertiary Sector","PS","Rural"
"July 1987-June 1988","43","63","Female","Tertiary Sector","PS","Rural"
"July 1989 -June 1990","45","70","Female","Tertiary Sector","PS","Rural"
"July 1990-June 1991","46","75","Female","Tertiary Sector","PS","Rural"
"July-December 1991","47","62","Female","Tertiary Sector","PS","Rural"
"January-December 19","48","64","Female","Tertiary Sector","PS","Rural"
"January-June 1993","49","61","Female","Tertiary Sector","PS","Rural"
"July 1993-June 1994","50","62","Female","Tertiary Sector","PS","Rural"
"July 1994-June 1995","51","50","Female","Tertiary Sector","PS","Rural"
"July 1995 -June 1996","52","59","Female","Tertiary Sector","PS","Rural"
"January-December 1997","53","47","Female","Tertiary Sector","PS","Rural"
"January-June 1998","54","54","Female","Tertiary Sector","PS","Rural"
"July 1999-June 2000","55","66","Female","Tertiary Sector","PS","Rural"
"July 2000-June 2001","56","49","Female","Tertiary Sector","PS","Rural"
"July 2001 -June 2002","57","57","Female","Tertiary Sector","PS","Rural"
"July-December 2002","58","75","Female","Tertiary Sector","PS","Rural"
"January-D","59","60","Female","Tertiary Sector","PS","Rural"
"January-June 2004","60","78","Female","Tertiary Sector","PS","Rural"
"July 2004-June 2005","61","76","Female","Tertiary Sector","PS","Rural"
"July 2005-June 2006","62","82","Female","Tertiary Sector","PS","Rural"
"January-December 1983","38","48","Female","Tertiary Sector","ALL","Rural"
"July 1987-June 1988","43","53","Female","Tertiary Sector","ALL","Rural"
"July 1989 -June 1990","45","61","Female","Tertiary Sector","ALL","Rural"
"July 1990-June 1991","46","70","Female","Tertiary Sector","ALL","Rural"
"July-December 1991","47","58","Female","Tertiary Sector","ALL","Rural"
"January-December 19","48","60","Female","Tertiary Sector","ALL","Rural"
"January-June 1993","49","54","Female","Tertiary Sector","ALL","Rural"
"July 1993-June 1994","50","55","Female","Tertiary Sector","ALL","Rural"
"July 1994-June 1995","51","46","Female","Tertiary Sector","ALL","Rural"
"July 1995 -June 1996","52","52","Female","Tertiary Sector","ALL","Rural"
"January-December 1997","53","42","Female","Tertiary Sector","ALL","Rural"
"January-June 1998","54","49","Female","Tertiary Sector","ALL","Rural"
"July 1999-June 2000","55","57","Female","Tertiary Sector","ALL","Rural"
"July 2000-June 2001","56","49","Female","Tertiary Sector","ALL","Rural"
"July 2001 -June 2002","57","51","Female","Tertiary Sector","ALL","Rural"
"July-December 2002","58","65","Female","Tertiary Sector","ALL","Rural"
"January-D","59","53","Female","Tertiary Sector","ALL","Rural"
"January-June 2004","60","65","Female","Tertiary Sector","ALL","Rural"
"July 2004-June 2005","61","66","Female","Tertiary Sector","ALL","Rural"
"July 2005-June 2006","62","68","Female","Tertiary Sector","ALL","Rural"
"July 2009-June 2010","66","789","Female","Primary Sector","PS","Rural"
"July 2009-June 2010","66","794","Female","Primary Sector","ALL","Rural"
"July 2009-June 2010","66","121","Female","Secondary Sector","PS","Rural"
"July 2009-June 2010","66","130","Female","Secondary Sector","ALL","Rural"
"July 2009-June 2010","66","91","Female","Tertiary Sector","PS","Rural"
"July 2009-June 2010","66","76","Female","Tertiary Sector","ALL","Rural"
"July 2009-June 2010","66","118","Female","Primary Sector","PS","Urban"
"July 2009-June 2010","66","139","Female","Primary Sector","ALL","Urban"
"January-December 1983","38","862","Female","Primary Sector","PS","Rural"
"July 1987-June 1988","43","825","Female","Primary Sector","PS","Rural"
"July 1989 -June 1990","45","800","Female","Primary Sector","PS","Rural"
"July 1990-June 1991","46","842","Female","Primary Sector","PS","Rural"
"July-December 1991","47","859","Female","Primary Sector","PS","Rural"
"January-December 19","48","858","Female","Primary Sector","PS","Rural"
"January-June 1993","49","862","Female","Primary Sector","PS","Rural"
"July 1993-June 1994","50","847","Female","Primary Sector","PS","Rural"
"July 1994-June 1995","51","862","Female","Primary Sector","PS","Rural"
"July 1995 -June 1996","52","854","Female","Primary Sector","PS","Rural"
"January-December 1997","53","875","Female","Primary Sector","PS","Rural"
"January-June 1998","54","876","Female","Primary Sector","PS","Rural"
"July 1999-June 2000","55","841","Female","Primary Sector","PS","Rural"
"July 2000-June 2001","56","812","Female","Primary Sector","PS","Rural"
"July 2001 -June 2002","57","819","Female","Primary Sector","PS","Rural"
"July-December 2002","58","834","Female","Primary Sector","PS","Rural"
"January-D","59","841","Female","Primary Sector","PS","Rural"
"January-June 2004","60","820","Female","Primary Sector","PS","Rural"
"July 2004-June 2005","61","814","Female","Primary Sector","PS","Rural"
"July 2005-June 2006","62","798","Female","Primary Sector","PS","Rural"
"January-December 1983","38","875","Female","Primary Sector","ALL","Rural"
"July 1987-June 1988","43","847","Female","Primary Sector","ALL","Rural"
"July 1989 -June 1990","45","814","Female","Primary Sector","ALL","Rural"
"July 1990-June 1991","46","849","Female","Primary Sector","ALL","Rural"
"July-December 1991","47","863","Female","Primary Sector","ALL","Rural"
"January-December 19","48","862","Female","Primary Sector","ALL","Rural"
"January-June 1993","49","872","Female","Primary Sector","ALL","Rural"
"July 1993-June 1994","50","862","Female","Primary Sector","ALL","Rural"
"July 1994-June 1995","51","871","Female","Primary Sector","ALL","Rural"
"July 1995 -June 1996","52","868","Female","Primary Sector","ALL","Rural"
"January-December 1997","53","885","Female","Primary Sector","ALL","Rural"
"January-June 1998","54","885","Female","Primary Sector","ALL","Rural"
"July 1999-June 2000","55","854","Female","Primary Sector","ALL","Rural"
"July 2000-June 2001","56","818","Female","Primary Sector","ALL","Rural"
"July 2001 -June 2002","57","840","Female","Primary Sector","ALL","Rural"
"July-December 2002","58","849","Female","Primary Sector","ALL","Rural"
"January-D","59","852","Female","Primary Sector","ALL","Rural"
"January-June 2004","60","841","Female","Primary Sector","ALL","Rural"
"July 2004-June 2005","61","833","Female","Primary Sector","ALL","Rural"
"July 2005-June 2006","62","813","Female","Primary Sector","ALL","Rural"
"January-December 1983","38","78","Female","Secondary Sector","PS","Rural"
"July 1987-June 1988","43","112","Female","Secondary Sector","PS","Rural"
"July 1989 -June 1990","45","130","Female","Secondary Sector","PS","Rural"
"July 1990-June 1991","46","83","Female","Secondary Sector","PS","Rural"
"July-December 1991","47","79","Female","Secondary Sector","PS","Rural"
"January-December 19","48","78","Female","Secondary Sector","PS","Rural"
"January-June 1993","49","77","Female","Secondary Sector","PS","Rural"
"July 1993-June 1994","50","91","Female","Secondary Sector","PS","Rural"
"July 1994-June 1995","51","88","Female","Secondary Sector","PS","Rural"
"July 1995 -June 1996","52","87","Female","Secondary Sector","PS","Rural"
"January-December 1997","53","77","Female","Secondary Sector","PS","Rural"
"January-June 1998","54","70","Female","Secondary Sector","PS","Rural"
"July 1999-June 2000","55","93","Female","Secondary Sector","PS","Rural"
"July 2000-June 2001","56","139","Female","Secondary Sector","PS","Rural"
"July 2001 -June 2002","57","124","Female","Secondary Sector","PS","Rural"
"July-December 2002","58","91","Female","Secondary Sector","PS","Rural"
"January-D","59","99","Female","Secondary Sector","PS","Rural"
"January-June 2004","60","102","Female","Secondary Sector","PS","Rural"
"July 2004-June 2005","61","108","Female","Secondary Sector","PS","Rural"
"July 2005-June 2006","62","121","Female","Secondary Sector","PS","Rural"
"January-December 1983","38","74","Female","Secondary Sector","ALL","Rural"
"July 1987-June 1988","43","100","Female","Secondary Sector","ALL","Rural"
"July 1989 -June 1990","45","124","Female","Secondary Sector","ALL","Rural"
"July 1990-June 1991","46","81","Female","Secondary Sector","ALL","Rural"
